aX,aY,aZ,gX,gY,gZ
-0.194,-0.227,0.758,214.6,-59.143,-29.602
-0.147,-0.263,0.75,201.538,-64.148,-16.235
-0.096,-0.325,0.725,192.078,-67.078,-8.606
-0.088,-0.349,0.677,191.345,-65.43,-7.568
-0.086,-0.352,0.634,189.514,-58.96,-7.385
-0.078,-0.403,0.61,191.833,-46.387,-9.766
-0.088,-0.475,0.545,198.853,-33.203,-13.489
-0.108,-0.503,0.471,199.646,-22.766,-17.029
-0.133,-0.52,0.404,198.12,-13,-20.874
-0.168,-0.557,0.364,186.646,-4.639,-18.372
-0.139,-0.577,0.421,172.607,2.502,-13.489
-0.09,-0.614,0.5,158.997,7.751,-7.812
-0.06,-0.633,0.534,157.898,8.118,-6.287
-0.04,-0.66,0.52,158.63,2.93,-6.958
-0.014,-0.685,0.491,158.142,-1.709,-7.751
0.004,-0.698,0.439,161.621,-8.606,-10.925
0.002,-0.71,0.361,162.109,-17.944,-15.747
-0.005,-0.709,0.293,160.095,-27.405,-20.508
-0.028,-0.703,0.217,159.851,-37.109,-25.085
-0.051,-0.712,0.151,153.87,-45.044,-28.076
-0.074,-0.726,0.091,148.132,-49.561,-29.907
-0.097,-0.745,0.037,143.555,-52.856,-30.884
-0.118,-0.76,-0.004,132.751,-54.443,-30.029
-0.148,-0.763,0,122.925,-52.368,-28.748
-0.156,-0.787,0.026,117.371,-46.082,-26.367
-0.153,-0.808,0.028,114.319,-39.307,-24.17
-0.15,-0.822,0.016,110.413,-34.729,-23.071
-0.154,-0.819,0.005,111.145,-32.349,-23.804
-0.162,-0.827,-0.003,109.497,-32.959,-25.085
-0.164,-0.829,-0.009,107.239,-35.889,-26.855
-0.171,-0.852,-0.03,109.985,-38.391,-30.212
-0.197,-0.875,-0.071,111.389,-40.222,-34.79
-0.239,-0.872,-0.096,106.995,-40.222,-38.574
-0.278,-0.881,-0.107,102.417,-37.048,-39.795
-0.309,-0.866,-0.104,98.511,-33.386,-38.391
-0.342,-0.847,-0.096,92.346,-30.273,-35.156
-0.347,-0.857,-0.093,88.623,-26.672,-29.968
-0.341,-0.866,-0.091,84.473,-24.719,-25.146
-0.338,-0.869,-0.09,79.468,-23.987,-22.278
-0.331,-0.882,-0.103,78.979,-23.743,-21.057
-0.348,-0.886,-0.129,80.383,-23.682,-21.973
-0.375,-0.893,-0.13,77.698,-21.79,-22.827
-0.381,-0.901,-0.123,73.486,-18.188,-21.912
-0.384,-0.892,-0.123,71.167,-16.296,-20.935
-0.394,-0.878,-0.116,71.289,-15.625,-20.63
-0.394,-0.881,-0.114,70.923,-15.137,-19.47
-0.399,-0.884,-0.133,69.275,-16.357,-18.25
-0.417,-0.878,-0.147,67.444,-17.822,-17.151
-0.425,-0.879,-0.146,67.81,-17.883,-15.259
-0.416,-0.891,-0.148,65.063,-16.968,-12.512
-0.405,-0.899,-0.155,65.735,-16.418,-11.169
-0.407,-0.903,-0.169,63.721,-16.968,-10.864
-0.404,-0.9,-0.184,63.477,-18.066,-10.681
