aX,aY,aZ,gX,gY,gZ
-0.503,-0.779,0.917,68.787,-332.336,69.458
-0.468,-0.895,0.922,88.196,-322.754,61.89
-0.459,-0.968,0.864,104.675,-313.416,50.049
-0.469,-1.008,0.769,120.239,-301.025,36.987
-0.448,-1.06,0.694,130.127,-291.016,26.794
-0.395,-1.085,0.688,129.211,-294.006,17.822
-0.354,-1.106,0.687,130.31,-310.791,3.845
-0.33,-1.135,0.633,140.564,-333.313,-16.724
-0.285,-1.12,0.558,157.41,-354.614,-43.213
-0.209,-1.077,0.435,181.946,-373.962,-73.975
-0.127,-1.018,0.239,211.182,-389.771,-106.873
-0.132,-0.928,-0.059,236.328,-402.161,-135.925
-0.141,-0.929,-0.38,252.319,-410.095,-153.137
-0.147,-0.974,-0.686,251.587,-413.513,-157.532
-0.11,-1.051,-0.886,232.239,-410.217,-153.625
-0.069,-1.102,-0.974,207.947,-396.545,-149.17
0.02,-1.061,-0.93,192.383,-372.131,-151.611
0.102,-0.967,-0.873,188.66,-342.529,-164.795
0.176,-0.881,-0.773,198.853,-299.194,-190.43
0.216,-0.754,-0.693,218.445,-256.104,-215.21
0.275,-0.618,-0.707,237.488,-228.638,-240.295
0.296,-0.455,-0.746,250.305,-214.783,-263.123
0.218,-0.302,-0.888,251.282,-214.6,-285.095
0.156,-0.247,-1.092,231.934,-227.905,-294.617
0.126,-0.121,-1.186,191.65,-248.84,-293.213
0.125,0.125,-1.151,138,-264.404,-294.739
0.021,0.387,-1.016,94.849,-266.235,-297.546
-0.074,0.607,-0.884,64.453,-272.583,-288.391
-0.124,0.799,-0.766,41.26,-287.231,-264.893
-0.141,0.934,-0.688,31.067,-291.565,-235.291
-0.087,1.007,-0.607,30.823,-275.146,-208.862
0.006,1.101,-0.45,42.725,-239.99,-190.979
0.127,1.139,-0.348,63.171,-199.524,-179.626
0.249,1.106,-0.348,96.069,-165.161,-172.119
0.333,1.044,-0.419,123.291,-142.7,-169.495
0.375,0.987,-0.531,135.254,-133.362,-170.288
0.36,0.963,-0.653,132.385,-134.338,-167.908
0.348,0.922,-0.814,124.756,-137.878,-163.513
0.312,0.919,-0.939,107.666,-136.353,-158.447
0.249,0.894,-0.996,90.698,-125.366,-152.466
0.219,0.941,-0.927,73.853,-103.333,-145.569
0.223,1.059,-0.77,65.491,-70.862,-139.771
0.214,1.082,-0.647,71.35,-34.851,-133.606
0.13,1.017,-0.572,85.754,1.282,-128.418
0.049,1.063,-0.559,99.365,40.222,-121.033
-0.065,0.872,-0.612,108.154,61.279,-107.788
-0.125,0.901,-0.606,96.13,57.678,-95.215
-0.191,0.955,-0.582,74.768,51.819,-86.975
-0.249,1.005,-0.553,60.974,51.514,-81.848
-0.203,1.146,-0.63,58.838,47.668,-81.909
-0.401,1.075,-0.625,62.683,27.71,-83.374
-0.646,0.921,-0.765,56.58,6.714,-76.965
-0.629,1.026,-0.892,33.813,-19.592,-59.509
-0.556,0.927,-0.909,15.747,-30.334,-32.837
-0.49,0.815,-0.959,3.357,-30.457,0.488
-0.288,0.803,-0.959,-6.836,-6.409,29.602
-0.091,0.721,-0.876,-9.949,27.1,55.847
0.156,0.681,-0.772,-5.615,54.504,65.43
0.363,0.644,-0.675,-2.808,66.956,56.213
0.408,0.605,-0.647,4.15,56.152,37.903
0.368,0.633,-0.684,6.714,27.527,15.137
0.232,0.67,-0.776,3.601,-6.104,-6.165
0.028,0.715,-0.904,-1.099,-33.997,-20.691
-0.174,0.765,-1.004,-6.47,-44.434,-23.56
-0.298,0.776,-1.062,-9.827,-40.039,-13.55
-0.322,0.803,-1.058,-15.076,-24.292,3.967
-0.26,0.818,-1.003,-19.836,-1.648,23.254
-0.15,0.802,-0.897,-17.029,19.836,38.757
-0.033,0.756,-0.81,-6.714,36.865,45.532
0.047,0.669,-0.803,3.174,46.448,44.983
0.109,0.599,-0.823,9.216,45.715,39.734
0.133,0.561,-0.816,11.658,36.926,30.09
0.101,0.555,-0.802,8.484,23.376,17.151
0.034,0.558,-0.815,3.845,7.446,5.005
-0.038,0.573,-0.861,1.892,-9.277,-2.93
-0.104,0.607,-0.911,-0.183,-22.583,-7.385
-0.154,0.641,-0.934,-1.953,-27.161,-8.972
-0.18,0.654,-0.941,-4.944,-22.583,-7.019
-0.172,0.649,-0.924,-4.089,-11.597,-2.808
-0.138,0.636,-0.884,-0.61,2.136,2.502
-0.085,0.614,-0.839,4.639,16.113,8.118
